,price,total_square,rooms,floor
0,16004680,76,3,6
1,7841776,24,1,10
2,13300000,74,3,14
3,9500000,65,2,3
4,15000000,87,3,11
5,7135671,35,2,11
6,31500000,68,2,4
7,20700000,74,3,14
8,13442826,51,2,21
9,14000000,53,2,14
10,7200000,34,1,16
11,11800000,50,1,12
12,7550000,42,1,8
13,9700000,36,1,11
14,11500000,42,1,10
15,8800000,52,2,3
16,20640000,37,1,17
17,27500000,114,3,6
18,11500000,45,2,2
19,18900000,59,3,3
20,15700000,92,3,4
21,23123514,66,2,19
22,12500000,75,3,7
23,11218713,39,1,24
24,15000000,52,2,5
25,7026534,20,1,3
26,11300000,37,2,8
27,10260000,54,2,2
28,19362780,62,2,20
29,25856480,64,2,19
30,12925115,35,1,7
31,6600000,39,1,12
32,7199603,20,1,24
33,13550000,63,3,4
34,22050000,46,2,5
35,10200000,34,1,8
36,8300000,38,1,8
37,13500000,68,3,3
38,12212640,55,2,21
39,14400000,86,3,12
40,24105540,47,1,2
41,18300000,73,3,5
42,14675000,81,3,19
43,8600000,31,1,9
44,10788015,34,1,13
45,46850000,70,2,19
46,8900000,34,1,2
47,14500000,89,3,1
48,17900000,105,3,2
49,15700000,66,3,9
50,19260000,38,1,11
51,15500000,32,1,11
52,16500000,68,3,4
53,28500000,67,2,8
54,14523000,44,1,3
55,6400000,29,1,2
56,14139310,73,3,16
57,18192360,45,2,20
58,9700000,38,1,14
59,6600000,34,1,10
60,17500000,55,2,12
61,6650384,54,2,19
62,10900000,33,1,6
63,35000000,100,4,2
64,17097300,82,4,7
65,10307606,25,1,14
66,33200000,81,3,4
67,12490000,40,3,2
68,10200000,35,1,5
69,8199999,43,2,5
70,15000000,40,1,9
71,30904483,58,2,7
72,15000000,87,3,2
73,13000000,40,1,18
74,9400000,50,2,6
75,38700000,97,3,29
76,34200000,75,3,12
77,14054274,44,2,15
78,7500000,38,1,24
79,4499000,28,1,9
80,41020512,71,2,8
81,13300000,68,2,2
82,12800000,50,2,7
83,8999900,45,1,19
84,13430348,59,2,6
85,33000000,101,4,9
86,5487560,31,1,14
87,13817440,40,2,3
88,13600000,85,3,12
89,23000000,104,3,7
90,14093644,54,2,6
91,11800000,37,1,14
92,30818150,69,2,12
93,15000000,45,1,2
94,10050000,44,2,1
95,13200000,50,2,4
96,9500000,62,3,9
97,26000000,77,2,7
98,20000000,64,3,4
99,9450000,64,2,12
100,7100000,58,2,5
101,5500000,37,1,3
102,14480000,64,3,1
103,35897600,79,2,29
104,10423970,37,2,14
105,18300000,40,1,4
106,21600000,61,3,8
107,30384875,84,3,2
108,9890000,32,1,7
109,12750000,40,1,14
110,28745640,76,3,8
111,14400000,41,2,4
112,12300000,64,2,10
113,16500000,72,2,3
114,7800000,30,1,2
